Kode Produk,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,Cluster
P134,47,40,30,26,70,43,79,40,58,54,34,38,54,40,28,31,16,37,39,34,26,25,35,22,0
P135,25,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0
P136,0,1,0,0,9,0,0,0,0,0,10,0,0,0,0,0,15,0,0,0,0,0,2,4,0
P137,5,11,8,5,9,8,5,33,2,13,2,2,1,0,1,29,0,0,15,0,3,5,2,13,0
P138,0,0,0,0,0,0,0,0,0,0,0,2,12,5,16,16,5,0,5,4,15,40,40,1,0
P139,0,0,7,76,99,55,81,82,123,137,112,111,140,125,54,68,39,11,21,0,-3,0,15,34,0
P140,274,396,246,382,264,208,217,232,194,358,282,240,360,272,385,256,209,242,351,306,225,323,253,177,1
P141,65,43,77,57,88,32,34,77,44,64,46,69,61,41,63,24,33,36,41,51,76,68,63,50,0
P142,84,16,23,34,44,34,4,68,4,2,8,7,2,16,6,2,3,3,11,10,0,3,26,4,0
P143,860,816,843,1160,1257,856,1287,1465,1952,1775,1871,1893,1712,2150,2025,843,396,1070,1205,1559,985,1276,1610,1131,4
P144,83,36,67,185,0,43,30,150,27,0,56,105,128,149,51,66,5,0,186,53,10,143,130,103,1
P145,66,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
P146,0,0,0,0,0,0,0,0,13,0,0,7,0,0,10,0,0,0,0,0,10,4,0,10,0
P147,165,373,135,127,38,10,150,400,0,150,500,10,115,75,215,0,100,0,238,212,0,447,5,0,1
P148,152,157,86,163,135,127,195,207,199,117,84,278,96,33,104,100,75,70,100,27,123,76,49,188,1
P149,-87,21,68,182,67,74,76,33,207,101,32,12,37,29,106,2,10,6,23,121,101,21,33,13,0
P150,21,21,11,29,16,26,38,34,40,44,27,25,36,31,41,33,-16,222,13,441,21,20,10,300,0
P151,88,64,95,92,178,8,185,53,99,106,88,120,147,90,250,91,141,42,84,-2,55,47,54,27,1
P152,113,18,105,79,27,16,76,8,123,106,9,18,60,102,74,0,4,11,64,11,9,15,136,15,0
P153,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
P154,243,379,292,232,287,107,344,455,436,245,598,224,398,384,570,129,85,115,232,79,112,450,498,254,1
P155,-5,0,0,10,0,0,0,0,0,0,-5,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
P156,101,65,117,94,197,151,157,159,144,155,174,128,126,123,215,152,129,136,177,120,167,153,130,121,1
P157,0,0,0,0,0,8,49,93,103,92,77,53,45,31,70,19,26,29,49,43,34,51,51,43,0
P158,0,0,0,0,0,7,67,78,156,184,157,168,108,101,131,64,55,63,98,57,81,132,79,80,1
